# index x y z
358 0.967506 0.432524 0.963083
359 0.97367 0.432216 0.965401
360 0.978425 0.431941 0.966293
361 0.992479 0.431435 0.976311
362 0.924546 0.434028 0.996249
363 0.929848 0.433744 0.998012
364 0.93448 0.433474 0.999027
365 0.937749 0.433237 0.99857
366 0.941024 0.432999 0.998107
367 0.943615 0.432777 0.99691
368 0.945519 0.432573 0.994983
369 0.94673 0.432385 0.992331
370 0.949326 0.432163 0.99113
371 0.949839 0.431993 0.987758
372 0.949651 0.431842 0.983671
373 0.953641 0.431584 0.983911
374 0.953444 0.431434 0.979832
375 0.95324 0.431285 0.975762
376 0.953027 0.431136 0.9717
377 0.951399 0.431025 0.966218
378 0.951871 0.43086 0.962889
379 0.950925 0.430733 0.958142
380 0.952091 0.43055 0.955537
381 0.956089 0.430292 0.955768
382 0.960805 0.430013 0.956698
383 0.964109 0.429772 0.956205
384 0.969557 0.429472 0.95782
385 0.979306 0.429052 0.963638
386 0.991231 0.42857 0.971529
387 0.924919 0.43134 0.996963
388 0.930222 0.431046 0.998724
389 0.935539 0.43075 1.00047
390 0.938811 0.430508 1.00001
391 0.9414 0.430285 0.998815
392 0.943993 0.430061 0.997617
393 0.945898 0.429856 0.995689
394 0.947802 0.429651 0.993761
395 0.949014 0.429466 0.991109
396 0.948834 0.42932 0.987015
397 0.946557 0.429233 0.980765
398 0.949145 0.42901 0.979571
399 0.94964 0.428847 0.976219
400 0.950829 0.428663 0.97359
401 0.949911 0.428541 0.968817
402 0.948982 0.428421 0.964055
403 0.94945 0.42826 0.96073
404 0.949207 0.42812 0.956699
405 0.951077 0.427919 0.954806
406 0.954364 0.427676 0.95433
407 0.958367 0.427411 0.954556
408 0.961666 0.427167 0.954067
409 0.966397 0.426878 0.954982
410 0.971139 0.426589 0.955885
411 0.975176 0.42632 0.956075
412 1.10747 0.419098 1.00322
413 0.921883 0.428749 0.994001
414 0.929912 0.428364 0.998703
415 0.935228 0.428058 1.00045
416 0.938499 0.427813 0.999989
417 0.941088 0.427587 0.998794
418 0.943681 0.427362 0.997595
419 0.944895 0.427178 0.99494
420 0.946107 0.426994 0.992289
421 0.946623 0.426832 0.988916
422 0.945745 0.426714 0.984103
423 0.94416 0.426619 0.978581
