# index x y z
279 0.859012 1.29945 2.04673
280 0.863066 1.30043 2.04706
281 0.867129 1.30142 2.04738
282 0.8712 1.3024 2.04769
283 0.875279 1.30339 2.048
284 0.879809 1.3048 2.04932
285 0.884349 1.3062 2.05063
286 0.888901 1.30761 2.05193
287 0.854454 1.30355 2.07449
288 0.852482 1.29857 2.06024
289 0.853073 1.29615 2.05226
290 0.855818 1.29585 2.04948
291 0.857692 1.29471 2.04463
292 0.862616 1.29654 2.04703
293 0.866678 1.29752 2.04735
294 0.871187 1.29892 2.04869
295 0.874386 1.29905 2.04693
296 0.879355 1.30087 2.04929
297 0.883895 1.30227 2.0506
298 0.888891 1.3041 2.05293
299 0.854656 1.30332 2.08561
300 0.852284 1.29794 2.07029
301 0.851601 1.29425 2.05917
302 0.85176 1.29141 2.05015
303 0.854935 1.29154 2.04841
304 0.857678 1.29125 2.04563
305 0.861293 1.2918 2.04493
306 0.865352 1.29277 2.04525
307 0.870296 1.29459 2.04763
308 0.873934 1.29514 2.0469
309 0.879344 1.29738 2.05029
310 0.883441 1.29835 2.05057
311 0.888436 1.30016 2.0529
312 0.852491 1.2977 2.08141
313 0.849687 1.29191 2.06505
314 0.85029 1.28951 2.05706
315 0.850879 1.2871 2.04908
316 0.854052 1.28723 2.04734
317 0.857229 1.28736 2.0456
318 0.861279 1.28833 2.04593
319 0.864901 1.28887 2.04522
320 0.870283 1.2911 2.04863
321 0.873482 1.29123 2.04687
322 0.879332 1.29387 2.05129
323 0.883873 1.29526 2.0526
324 0.88798 1.29622 2.05287
325 0.850116 1.29491 2.08627
326 0.850755 1.29251 2.07824
327 0.848807 1.28759 2.06398
328 0.84941 1.2852 2.05598
329 0.85043 1.28322 2.04905
330 0.854469 1.28419 2.04939
331 0.857213 1.28389 2.04661
332 0.860829 1.28443 2.0459
333 0.865325 1.28581 2.04726
334 0.869831 1.28719 2.0486
335 0.873909 1.28815 2.0489
336 0.878878 1.28995 2.05125
337 0.883418 1.29133 2.05256
338 0.887525 1.29228 2.05284
339 0.850087 1.29139 2.08729
340 0.849447 1.28775 2.07613
341 0.847928 1.28327 2.0629
342 0.84853 1.28089 2.05491
343 0.850412 1.27976 2.05006
344 0.853587 1.27988 2.04832
345 0.856764 1.28 2.04658
346 0.860815 1.28096 2.04691
347 0.864874 1.28191 2.04723
348 0.86938 1.28328 2.04857
349 0.873896 1.28466 2.0499
350 0.878424 1.28602 2.05122
351 0.883406 1.28781 2.05356
352 0.850058 1.28788 2.0883
353 0.848994 1.28383 2.07609
354 0.846621 1.27854 2.06079
355 0.84894 1.27783 2.05696
